Objective value: 107.6583

******Calibrated demand*****
ID	 CalibratedValue
ST00007166    0.9737
ST00007169    1.5086
ST00007172    -0.0288
ST00007179    0.3802
ST00007200    0.1726
ST00007261    2.2787
ST00007275    0.3458
ST00007349    0.3372
ST00007352    0.3487
ST00007424    0.8604
ST00007430    0.1733
ST00007432    1.2160
ST00007467    0.3985
ST00007468    0.2204
ST00007469    1.5511
ST00007476    0.3286
ST00007493    0.5755
ST00007499    0.1976
ST00007500    0.0252
ST00007544    0.2878
ST00007554    0.3768
ST00007560    0.0106
ST00007605    1.1335
ST00007801    1.0547
ST00007832    0.6343
ST00007906    0.3015
ST00007962    0.3207
ST00007966    0.3970
ST00007974    0.4068
ST00007978    0.0970
ST00007982    -0.1338
ST00007985    -0.0608
ST00007986    -0.1616
ST00007989    -0.0059
ST00007998    0.0988
ST00008003    -0.1269
ST00008004    -0.1675
ST00008062    2.2668
ST00008077    0.8382
ST00008080    0.4298
ST00008085    0.7154
ST00008116    0.3976
ST00008117    0.7599
ST00008159    0.2855
ST00008160    0.0733
ST00008171    0.3274
ST00008181    0.3475
ST00008182    0.3404
ST00008203    0.1887
ST00008310    1.4254
ST00008379    0.3549
ST00008446    1.0169
ST00008447    -0.0873
ST00008476    0.4380
ST00008485    0.4421
ST00008507    1.7440
ST00008514    1.2459
ST00008526    0.4005
ST00008551    0.3101
ST00008556    0.4235
ST00008588    0.4301
ST00008599    0.2949
ST00008601    0.3183
ST00008603    0.3355
ST00008606    0.3500
ST00008607    0.3374
ST00008615    0.3943
ST00008619    0.3501
ST00008624    0.3283
ST00008633    0.4374
ST00008712    2.7620
ST00008720    1.4903
ST00008721    1.6895
ST00008727    0.3993
ST00008766    3.4831
ST00008775    1.7569
ST00008793    0.3809
ST00008796    0.2996
ST00008798    0.3570
ST00008834    0.4170
ST00008841    0.4359
ST00008878    2.5098
ST00008952    0.3483
ST00008955    0.3931
ST00008958    -0.0816
ST00008964    0.3874
ST00008966    1.3847
ST00008977    0.4298
ST00008978    0.4741
ST00008982    0.3954
ST00008986    0.3736
ST00008991    0.2563
ST00009010    0.2983
ST00009012    0.3568
ST00009013    0.3934
ST00009016    0.3209
ST00009018    0.3085
ST00009025    0.3911
ST00009030    0.4162
ST00009032    0.3741
ST00009085    0.7265
ST00009088    0.4756
ST00009095    0.3989
ST00009100    0.4171
ST00009101    0.5811
ST00009102    0.9660
ST00009104    0.2477
ST00009105    0.3569
ST00009107    0.5939
ST00009108    2.0097
ST00009110    3.0597
ST00009111    2.0242
ST00009112    2.0139
ST00009168    0.3982
ST00009170    -0.1575
ST00009172    -0.0255
ST00009178    0.9281
ST00009228    0.3886
ST00009229    0.2631
ST00009233    0.8914
ST00009236    0.5149
ST00009237    0.9326
ST00009331    0.0003
ST00009332    -0.0226
ST00009363    0.3916
ST00009364    0.0214
ST00009410    0.4302
ST00009422    1.5939
ST00009441    0.2819
ST00009451    1.6998
ST00009455    1.8889
ST00009456    2.0401
ST00009463    0.7828
ST00009479    1.3570
ST00009482    0.5595
ST00009485    0.3550
ST00009522    0.8157
ST00009533    1.9041
ST00009536    1.3602
ST00009537    0.3540
ST00009572    0.2877
ST00009598    0.5604
ST00009603    1.3818
ST00009608    0.4819
ST00009624    2.8627
ST00009625    2.0301
ST00009635    1.3637
ST00009636    0.1114
ST00009661    0.4117
ST00009668    0.3907
ST00009669    2.3972
ST00009752    0.3031
ST00009753    0.3807
ST00009758    0.3039
ST00009759    0.4203
ST00009762    0.3037
ST00009763    0.2939
ST00009767    1.0814
ST00009768    1.3983
ST00009790    1.2181
ST00009808    0.7911
ST00009809    0.4104
ST00009818    0.2815
ST00009821    1.4297
ST00009859    1.3666
ST00009862    0.3142
ST00009863    0.2191
ST00009866    0.5832
ST00009869    0.7476
ST00009879    0.8513
ST00009964    0.3531
ST00009965    0.1399
ST00009973    0.7430
ST00010013    2.1398
ST00010019    2.9937
ST00010020    1.6905
ST00010023    1.6184
ST00010025    2.4272
ST00010041    0.3682
ST00010044    2.5350
ST00010055    1.5377
ST00010122    1.6296
ST00010125    0.6375
ST00010128    0.3088
ST00010129    0.3621
ST00010132    0.4007
ST00010164    1.8415
ST00010169    1.4673
ST00010170    2.0309
ST00010174    1.3983
ST00010178    1.3638
ST00010180    2.0496
ST00010182    1.8458
ST00010219    0.3167
ST00010225    2.2019
ST00010232    1.2458
ST00010233    0.3169
ST00010240    1.4875
ST00010253    1.0337
ST00010257    0.9904
ST00010260    1.0218
ST00010275    0.3982
ST00010277    0.3659
ST00010283    1.4027
ST00010284    0.9370
ST00010285    0.7817
ST00010288    0.9542
ST00010289    1.0148
ST00010290    1.5556
ST00010298    0.9595
ST00010301    1.9444
ST00010315    0.8973
ST00010317    1.5960
ST00010323    0.3398
ST00010347    0.3955
ST00010392    0.4500
ST00010395    0.7590
ST00010399    0.2628
ST00010457    0.3951
ST00010458    0.4137
ST00010461    0.3737
ST00010462    1.1659
ST00010463    0.2672
ST00010464    1.9256
ST00010479    1.7040
ST00010481    1.4784
ST00010483    0.7442
ST00010493    1.3245
ST00010615    0.3911
ST00010668    0.3548
ST00010672    1.7561
ST00010674    1.5414
ST00010679    2.0043
ST00010680    1.7935
ST00010687    1.2415
ST00010688    1.0343
ST00010691    1.1650
ST00010692    0.8216
ST00010694    1.4791
ST00010747    0.4072
ST00010751    0.4116
ST00010753    0.4100
ST00010775    0.4013
ST00010790    0.3816
ST00010791    0.4373
ST00010793    0.3718
ST00010800    0.3282
ST00010812    0.3803
ST00010813    0.2829
ST00010823    0.9104
ST00010829    0.9340
